EndPoint,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95
153,76.68189,36.03429,36.95913,13.22781,37.81561,280.0309,37.32544,190.0065,118.8965,2.964622,39.73955,7743.726,371.9799,343.0064,249.9223,158.7605,98.60638,37.02486,245.5364,149.1642,271.1886,349.3175,139.0414,212.2345,306.9938,172.4816,27.87375,158.5994,340.7914,372.7446,303.4372,0.9382211,1.994571,2.198186,1.486605,84.63261,70.83289,15.02806,17.08774,17.72964,47.52401,0.6710309,59.15052,9.046445,31.4939,30.76033,15.98748,10343.85,86.62366,9097.808,76.86221,74.92985,12.30855,102.0037,63.82888,166.4956,30.25983,80.33616,135.9662,53.13941,59.25459,81.77045,102.3814,162.8272,161.1669,32.70364,36.67531,39.88253,45.16645,147.3183,59.32812,70.89603,131.3414,166.4933,183.0471,89.92873,122.1945,135.937,146.7924,44.82542,46.8422,14.30003,9.050007,1.501634,14.91831,15.12888,11.42213,9.232941,9.252791,9.480494,1.593613,1.690682,1.809605,22.58198,23.73367
153,76.66999,36.03579,36.96013,13.22432,36.85574,280.0119,37.46852,189.9946,118.8705,2.920854,40.20313,7781.234,371.9717,343.6629,249.8804,158.6899,98.60121,37.00434,243.3996,149.1466,271.2494,349.0335,138.9338,211.8065,306.4634,172.4104,28.38178,158.5258,341.8524,373.0495,303.6608,0.9389633,2.002631,2.206533,1.492482,84.43117,70.95879,15.02744,17.15923,17.81421,47.51597,0.6697417,59.01171,9.124736,31.48057,30.90583,16.01521,10618.64,85.45103,9361.759,83.18815,75.31146,12.40346,101.9979,63.78041,166.351,30.76739,80.49978,135.9624,52.90155,59.03306,81.75542,102.377,162.6598,160.9938,33.83061,36.79906,39.78753,45.81212,147.0813,59.32812,70.88397,131.2184,166.3583,182.8605,90.04776,122.1661,135.9337,146.899,45.86573,46.97046,14.29992,9.04962,1.519562,14.9428,15.15431,11.47955,9.233054,9.251275,9.479866,1.6114,1.708036,1.827989,22.58247,23.73359
153,76.58917,36.03109,36.95742,13.23683,36.57658,280.231,37.32746,190.003,117.0053,2.907873,39.90302,7767.495,371.9837,342.6352,249.92,158.7351,98.6141,37.01972,242.203,149.1738,271.6032,349.0095,138.9415,212.1419,306.5494,172.4544,27.25191,158.5698,341.1926,373.1179,301.5569,0.9368041,1.997604,2.200493,1.49245,86.11435,70.82523,15.02837,17.15681,17.71052,47.51826,0.6710369,58.90044,8.998299,31.45775,31.11807,16.01312,10623.84,84.15622,9314.791,89.74653,77.30658,12.23282,102.0016,63.58579,165.497,30.17383,79.89694,135.974,52.84827,59.09882,81.5751,102.3969,162.8139,161.182,33.31367,36.33299,39.4557,45.36626,147.2423,59.32812,70.78864,130.8822,165.5156,182.3451,89.53326,121.6743,135.9487,147.0705,45.22562,46.69435,14.29993,9.050515,1.520304,14.93947,15.15269,11.46992,9.237555,9.251006,9.482664,1.613956,1.711171,1.832144,22.58421,23.73485
153,76.50307,36.02737,36.95844,13.22357,36.78414,280.5937,37.35195,189.9963,113.4772,2.761868,40.67387,7775.719,372.0851,344.7545,249.9244,158.7218,98.60899,37.01158,238.0163,149.1695,271.4893,349.2342,138.5678,212.0032,306.3943,172.0391,28.19731,158.5515,342.6357,372.6461,297.4864,0.9365732,1.998623,2.199021,1.503558,87.28983,70.37551,15.02779,17.37478,17.85381,47.75399,0.6787601,58.68333,8.908455,31.15569,30.88225,16.00304,10673.33,86.22026,9311.551,99.32365,77.78348,12.07473,102.0027,63.81946,165.5887,30.12564,79.72025,135.888,52.53539,59.1085,80.95815,102.405,163.376,161.7216,32.15894,34.49517,38.0151,43.98804,147.6741,59.32812,70.88506,130.6222,165.5937,182.4594,89.43578,121.5667,135.8737,147.0354,44.09117,46.82755,14.30007,9.050021,1.505269,14.93965,15.15314,11.46372,9.238024,9.249587,9.482324,1.600887,1.697142,1.819192,22.58257,23.73316
153,76.70737,36.03397,36.96161,13.22758,37.05888,279.9956,37.62222,190.0035,114.4433,2.905842,39.09557,7759.913,371.9867,345.3975,249.9203,158.763,98.62913,37.02048,240.2958,148.541,269.6617,349.1201,138.6201,211.1663,305.398,171.5398,30.01398,158.6037,343.375,372.6266,304.1307,0.9412284,1.975149,2.173363,1.484005,83.18533,69.80884,15.02894,17.16415,17.66213,47.75572,0.6841864,58.65123,8.789968,31.01166,30.73269,15.74448,10240.31,87.31035,8997.478,79.80256,76.1378,11.9728,101.9981,63.69252,166.0069,30.61815,79.97074,135.9988,52.95725,59.16523,81.65244,102.3593,163.1423,161.4491,34.07224,36.7056,39.91966,45.72085,147.6784,59.32812,70.87112,130.8382,166.004,182.9295,89.57276,121.9483,135.9645,146.8917,44.94518,46.84804,14.29998,9.050178,1.498118,14.89544,15.10724,11.39766,9.233164,9.258933,9.481927,1.58899,1.686599,1.808507,22.58221,23.73508
153,77.1039,36.03528,36.9599,13.2272,36.16767,280.016,37.52022,189.997,116.3644,2.830145,40.62143,7803.37,371.9865,345.1694,249.8581,158.7002,98.61867,37.00531,242.046,148.6887,268.9476,348.9298,138.7071,210.5008,305.0488,171.7595,31.03907,158.531,343.1403,372.9127,303.9792,0.942701,1.993394,2.194154,1.493372,82.19794,70.42137,15.02794,17.42626,18.01344,47.75543,0.6781725,58.94371,8.919984,31.03666,30.72399,15.99089,10396.06,86.22798,9188.868,71.26539,75.67567,12.12321,101.9997,63.65162,166.0026,30.89279,80.31322,135.9997,52.92506,59.02048,81.74567,102.3618,162.9326,161.2382,35.11604,37.02742,40.18956,46.39845,147.4274,59.32812,70.84731,130.8876,166.0045,182.8075,90.00284,122.1558,135.9576,146.825,45.6299,46.91029,14.30009,9.049722,1.498628,14.91893,15.12863,11.44213,9.232283,9.256641,9.480773,1.589084,1.686339,1.808488,22.58061,23.7323
153,76.78601,36.03053,36.95925,13.22399,34.04051,280.0167,37.32931,189.9998,117.0242,2.841555,40.86494,7812.647,371.9792,342.1902,249.8852,158.7691,98.61181,37.02638,242.875,148.7922,269.0928,349.0385,138.7693,210.2493,305.1846,171.8032,30.81137,158.6041,340.5895,373.4404,304.5032,0.9419599,1.99356,2.19523,1.491255,81.99247,70.27377,15.02773,17.49174,17.91787,47.75637,0.67971,58.80794,8.804427,31.10206,30.71145,15.73783,10278.11,85.04327,9056.51,80.33693,75.37479,11.99397,102.0027,63.67426,165.9979,30.5583,80.30527,135.9971,53.11226,59.24892,81.73071,102.3696,163.1018,161.4337,34.79184,37.02184,40.25225,46.20718,147.6789,59.32812,70.85902,130.9389,165.9955,182.8288,89.91315,122.1727,135.948,146.8393,46.01483,46.82959,14.29998,9.050243,1.522065,14.90302,15.11192,11.41446,9.232285,9.256576,9.48043,1.611073,1.707812,1.830142,22.58135,23.73271
153,76.71723,36.03329,36.95981,13.23594,34.04621,280.0437,37.32499,190.004,115.2935,2.83181,40.33265,7804.396,371.9877,342.9676,249.88,158.7526,98.61249,37.00926,242.8739,148.6987,269.0026,349.0947,138.6015,210.0788,305.25,171.6458,31.22229,158.5786,341.2442,373.9651,303.305,0.9410826,1.983934,2.184717,1.486588,81.26652,69.79714,15.02927,17.49821,17.93041,47.75425,0.6843203,58.37074,8.643899,30.78037,30.7022,15.61846,10206.6,82.14805,8982.214,88.73115,75.23026,11.78275,101.9981,63.57957,165.9949,30.54011,80.03542,135.9883,52.739,58.76847,81.71765,102.3758,163.3281,161.6685,34.91193,36.89817,40.23364,46.1621,147.9669,59.32812,70.74788,130.7087,166.006,182.9501,89.66165,122.073,135.9493,146.8452,45.74341,46.74607,14.30003,9.049736,1.506747,14.88805,15.0963,11.39671,9.231996,9.253769,9.479118,1.595993,1.692613,1.815045,22.58452,23.73658
153,76.75982,36.034,36.95988,13.23331,33.65282,279.9385,37.2899,190.0052,115.522,2.844601,40.40656,7798.685,371.9805,344.2295,249.9042,158.7811,98.66077,37.02387,243.5141,148.7375,269.4526,349.4424,138.6751,210.4657,305.5948,171.7316,31.24831,158.6134,342.307,373.8695,302.834,0.9412625,1.982319,2.182858,1.485472,81.33044,69.80282,15.02787,17.54714,17.86056,47.7536,0.6841344,58.36961,8.69044,30.84873,30.68183,15.60093,10277.94,83.43317,9036.075,82.60016,75.08325,11.84364,102.0031,63.62901,165.9987,30.91068,79.99834,135.9999,52.88843,58.97955,81.76904,102.3742,163.2259,161.5516,35.27691,36.99277,40.24404,46.38647,147.8063,59.32812,70.80921,130.6661,166.0003,182.9583,89.61397,122.045,135.9651,146.8726,45.8067,46.89936,14.29999,9.050404,1.503759,14.89434,15.10231,11.40816,9.232741,9.254107,9.480874,1.593064,1.690057,1.812367,22.57843,23.73125
153,76.84424,36.03105,36.95871,13.23682,33.89509,280.0078,37.34685,190.0057,115.1202,2.785904,40.90519,7825.355,371.9817,342.991,249.9174,158.7617,98.63149,37.01229,243.0904,148.6303,268.7189,349.5887,138.5339,209.7947,305.2527,171.5552,32.20955,158.6069,341.2136,373.6997,302.4384,0.9426027,1.983936,2.184501,1.487243,80.23643,69.46857,15.02736,17.45803,17.8778,47.75468,0.6875376,58.03985,8.646685,30.71667,30.67818,15.50496,10182.25,81.9002,8964.694,86.87048,75.10413,11.78394,101.9994,63.68029,165.9998,31.54631,80.06133,135.9919,52.95568,59.05177,81.77384,102.3685,163.1951,161.5395,35.95253,37.17765,40.38713,46.7691,147.8214,59.32812,70.90265,130.5176,166.0005,182.9722,89.7174,122.0546,135.9553,146.851,46.29416,47.16605,14.30001,9.049454,1.505967,14.88294,15.09043,11.39522,9.23149,9.253947,9.479811,1.594388,1.691008,1.813423,22.5797,23.73241
